year,security_software,usage
2006,anti_virus,77
2006,firewall,64
2006,security_updates,59
2007,anti_virus,84
2007,firewall,71
2007,security_updates,52
2008,anti_virus,91
2008,firewall,81
2008,security_updates,63
2009,anti_virus,90
2009,firewall,83
2009,security_updates,61
2010,anti_virus,90
2010,firewall,85
2010,security_updates,67
2011,anti_virus,89
2011,firewall,84
2011,security_updates,61
2012,anti_virus,83
2012,firewall,72
2012,security_updates,52
2013,anti_virus,84
2013,firewall,71
2013,security_updates,75
2014,anti_virus,81
2014,firewall,69
2014,security_updates,79
2015,anti_virus,80
2015,firewall,61
2015,security_updates,79
